year,urban_mean,agri_mean,anthropo_mean,forest_mean,anthropo_change,forest_change,anthropo_mean_0,forest_mean_0,urban_change,agri_change,urban_mean_0,agri_mean_0,%collapsed_overexploited,fish_stock,fish_stock_lag,fish_stock_change,cases_count,total_count,tca_count,prop_new_cases_tca,prop_new_cases,prop_aggr,prop_aggr_0
1992,0.00220643159795817,0.11055852561187966,0.11276495720983784,0.27775165864354706,0,0,0,0,0,0,0,0,22.98,0.2298,0.2298,0,100,2081583,23842,0.004194279003439309,4.804036159019362e-5,4.804036159019362e-5,0
1993,0.00226929755580557,0.11060980674741248,0.11287910430321804,0.2775709046111753,1.1414709338021524e-4,-1.8075403237177712e-4,1.1414709338021524e-4,-1.8075403237177712e-4,6.286595784739998e-5,5.128113553282132e-5,6.286595784739998e-5,5.128113553282132e-5,24.630000000000003,0.2463,0.2298,0.01649999999999998,117,2177844,25731,0.004547044421126268,5.372285618253649e-5,5.09458197076743e-5,2.9054581174806776e-6
1994,0.002332887753444,0.1105888380003322,0.1129217257537762,0.277561853370561,4.262145055815292e-5,-9.051240614288414e-6,1.5676854393836814e-4,-1.8980527298606553e-4,6.359019763843001e-5,-2.0968747080282735e-5,1.2645615548583e-4,3.0312388452538586e-5,25.01,0.2501,0.2463,0.00379999999999999,143,2294424,27743,0.005154453375626284,6.232501054730948e-5,5.4929536847877685e-5,6.889175257684065e-6
1995,0.00239807037299005,0.11093873706835504,0.11333680744134508,0.2770641312660476,4.150816875688884e-4,-4.977221045133762e-4,5.718502315072566e-4,-6.875273774994417e-4,6.518261954604988e-5,3.498990680228381e-4,1.9163877503187987e-4,3.802114564753767e-4,23.93,0.2393,0.2501,-0.01079999999999997,149,2429138,31320,0.0047573435504469986,6.133863123461903e-5,5.6662654267972496e-5,8.622292677778876e-6
1996,0.00246406581493945,0.11105511728008334,0.1135191830950228,0.2768624387159585,1.823756536777077e-4,-2.016925500891165e-4,7.542258851849643e-4,-8.892199275885582e-4,6.599544194940037e-5,1.1638021172830082e-4,2.5763421698128024e-4,4.965916682036775e-4,24.9,0.249,0.2393,0.00969999999999998,175,2605925,34576,0.0050613142063859326,6.715465717547512e-5,5.902192388346311e-5,1.098156229326949e-5
1997,0.00252737618138171,0.11134455061601584,0.11387192679739756,0.27655110905368263,3.5274370237477204e-4,-3.113296622758721e-4,0.00110696958755973,-0.00120054958986443,6.33103664422598e-5,2.8943333593249576e-4,3.2094458342354004e-4,7.860250041361733e-4,27.48,0.2748,0.249,0.02579999999999999,197,2730029,38519,0.005114359147433734,7.216040562206483e-5,6.15268878436069e-5,1.3486526253413276e-5
1998,0.0025945729834073,0.1117374894128314,0.11433206239623868,0.27593001345335405,4.6013559884112987e-4,-6.210956003285806e-4,0.00156710518640086,-0.00182164519019301,6.719680202558987e-5,3.929387968155673e-4,3.881413854491299e-4,0.0011789638009517406,28.43,0.2843,0.2748,0.0095,196,2868249,42524,0.004609161885053147,6.833437403795835e-5,6.266294110172272e-5,1.46225795115291e-5
1999,0.00265873391559215,0.11244485362402892,0.11510358753962106,0.2751854870328551,7.715251433823705e-4,-7.445264204989366e-4,0.00233863032978323,-0.00256617161069194,6.416093218485032e-5,7.073642111975198e-4,4.5230231763398023e-4,0.0018863280121492604,29.72,0.2972,0.2843,0.01290000000000002,270,3011888,46051,0.005863064862869427,8.964476766732361e-5,6.668620551034998e-5,1.864584392015636e-5
2000,0.0027282247341873,0.11300179932259365,0.11573002405678094,0.27499475017645286,6.264365171598785e-4,-1.907368564022516e-4,0.00296506684694311,-0.00275690846709419,6.949081859514974e-5,5.569456985647231e-4,5.2179313622913e-4,0.0024432737107139835,31,0.31,0.2972,0.01279999999999997,342,3527829,52805,0.006476659407253101,9.694347430105031e-5,7.118499927655979e-5,2.314463768636617e-5
2001,0.00292298745640558,0.11304441726246876,0.11596740471887432,0.27503460402218033,2.3738066209338937e-4,3.985384572746664e-5,0.0032024475090365,-0.00271705462136673,1.947627222182802e-4,4.261793987511697e-5,7.165558584474102e-4,0.0024858916505891004,32.51,0.3251,0.31,0.0151,344,3658577,56445,0.0060944282044468065,9.402562799689606e-5,7.423640391118127e-5,2.6196042320987655e-5
2002,0.00312055251846151,0.1131132095041832,0.1162337620226447,0.274989435373767,2.663573037703648e-4,-4.5168648413307366e-5,0.00346880481280686,-0.00276222326978003,1.9756506205592965e-4,6.879224171443821e-5,9.141209205033398e-4,0.0025546838923035387,34.400000000000006,0.344,0.3251,0.01889999999999997,400,4240817,66497,0.006015308961306525,9.43214479662763e-5,7.692963670145069e-5,2.8889275111257066e-5
2003,0.00331798722949163,0.11309568178123916,0.1164136690107308,0.2750648595413916,1.799069880861065e-4,7.542416762457149e-5,0.00364871180089297,-0.00268679910215546,1.9743471103012e-4,-1.7527722944041257e-5,0.0011115556315334598,0.0025371561693594974,35.35,0.3535,0.344,0.0095,452,4535445,69779,0.006477593545335989,9.965946009707978e-5,7.978043539266963e-5,3.174007380247601e-5
