year,urban_mean,agri_mean,anthropo_mean,forest_mean,anthropo_change,forest_change,anthropo_mean_0,forest_mean_0,urban_change,agri_change,urban_mean_0,agri_mean_0,%collapsed_overexploited,fish_stock,fish_stock_lag,fish_stock_change,cases_count,total_count,tca_count,prop_new_cases_tca,prop_new_cases,prop_aggr,prop_aggr_0,index_forest,index_anthropo,index_urban,index_agri,index_fish,normalized_forest,normalized_anthropo,normalized_urban,normalized_agri,normalized_fish
1992,0.00220643159795817,0.11055852561187966,0.11276495720983784,0.27775165864354706,0,0,0,0,0,0,0,0,22.98,0.2298,0.2298,0,100,2081583,23842,0.0041942790034393,4.804036159019362e-5,4.804036159019362e-5,0,1,1,1,1,1,0,0,0,0,0
1993,0.00226929755580557,0.11060980674741248,0.11287910430321804,0.2775709046111753,1.1414709338021524e-4,-1.8075403237177712e-4,1.1414709338021524e-4,-1.8075403237177712e-4,6.286595784739998e-5,5.128113553282132e-5,6.286595784739998e-5,5.128113553282132e-5,24.630000000000003,0.2463,0.2298,0.01649999999999998,117,2177844,25731,0.00454704442112626,5.372285618253649e-5,5.09458197076743e-5,2.9054581174806776e-6,0.9993492242917486,1.0010122567879647,1.028492139935621,1.0004638370062282,1.0718015665796343,0.06068658519990343,0.021402241387472987,0.01932948394342541,0.016945860393203924,0.06602641056422563
1994,0.002332887753444,0.1105888380003322,0.1129217257537762,0.277561853370561,4.262145055815292e-5,-9.051240614288414e-6,1.5676854393836814e-4,-1.8980527298606553e-4,6.359019763843001e-5,-2.0968747080282735e-5,1.2645615548583e-4,3.0312388452538586e-5,25.01,0.2501,0.2463,0.00379999999999999,143,2294424,27743,0.00515445337562628,6.232501054730948e-5,5.4929536847877685e-5,6.889175257684065e-6,0.999316636761368,1.0013902239473795,1.0573125201809348,1.0002741750424473,1.088337684943429,0.06372546005927063,0.02939363692911411,0.038881650907856974,0.010016734176498943,0.08123249299719881
1995,0.00239807037299005,0.11093873706835504,0.11333680744134508,0.2770641312660476,4.150816875688884e-4,-4.977221045133762e-4,5.718502315072566e-4,-6.875273774994417e-4,6.518261954604988e-5,3.498990680228381e-4,1.9163877503187987e-4,3.802114564753767e-4,23.93,0.2393,0.2501,-0.01079999999999997,149,2429138,31320,0.00475734355044699,6.133863123461903e-5,5.6662654267972496e-5,8.622292677778876e-6,0.9975246686883632,1.005071169675905,1.0868546186563055,1.003439006212964,1.0413402959094866,0.2308313027621328,0.10722022199404627,0.05892344206236633,0.12564094368005488,0.03801520608243301
1996,0.00246406581493945,0.11105511728008334,0.1135191830950228,0.2768624387159585,1.823756536777077e-4,-2.016925500891165e-4,7.542258851849643e-4,-8.892199275885582e-4,6.599544194940037e-5,1.1638021172830082e-4,2.5763421698128024e-4,4.965916682036775e-4,24.9,0.249,0.2393,0.00969999999999998,175,2605925,34576,0.00506131420638593,6.715465717547512e-5,5.902192388346311e-5,1.098156229326949e-5,0.9967985072278912,1.0066884775540814,1.11676510489593,1.0044916632657257,1.08355091383812,0.29854781212328224,0.14141511603491183,0.07921515285752694,0.16409880542566815,0.07683073229291715
1997,0.00252737618138171,0.11134455061601584,0.11387192679739756,0.27655110905368263,3.5274370237477204e-4,-3.113296622758721e-4,0.00110696958755973,-0.00120054958986443,6.33103664422598e-5,2.8943333593249576e-4,3.2094458342354004e-4,7.860250041361733e-4,27.48,0.2748,0.249,0.02579999999999999,197,2730029,38519,0.00511435914743373,7.216040562206483e-5,6.15268878436069e-5,1.3486526253413276e-5,0.9956776150474581,1.0098166098311891,1.1454586599106638,1.0071095829090155,1.195822454308094,0.4030740228365316,0.2075535138037415,0.09868127973287927,0.2597421029636532,0.18007202881152454
1998,0.0025945729834073,0.1117374894128314,0.11433206239623868,0.27593001345335405,4.6013559884112987e-4,-6.210956003285806e-4,0.00156710518640086,-0.00182164519019301,6.719680202558987e-5,3.929387968155673e-4,3.881413854491299e-4,0.00117896380095174,28.43,0.2843,0.2748,0.0095,196,2868249,42524,0.00460916188505314,6.833437403795835e-5,6.266294110172272e-5,1.46225795115291e-5,0.993441460623172,1.013897093788496,1.1759136271472523,1.010663707700757,1.2371627502175804,0.61160143753398,0.29382757357822464,0.11934237439011902,0.38958879853162454,0.21808723489395754
1999,0.00265873391559215,0.11244485362402892,0.11510358753962106,0.2751854870328551,7.715251433823705e-4,-7.445264204989366e-4,0.00233863032978323,-0.00256617161069194,6.416093218485032e-5,7.073642111975198e-4,4.5230231763398023e-4,0.00188632801214926,29.72,0.2972,0.2843,0.01290000000000002,270,3011888,46051,0.00586306486286942,8.964476766732361e-5,6.668620551034998e-5,1.864584392015636e-5,0.9907609134605196,1.0207389812194172,1.2049926759807739,1.0170618050639648,1.2932985204525675,0.8615696703768045,0.43848624920630286,0.13907002590340242,0.623337428423606,0.26970788315326133
2000,0.0027282247341873,0.11300179932259365,0.11573002405678094,0.27499475017645286,6.264365171598785e-4,-1.907368564022516e-4,0.00296506684694311,-0.00275690846709419,6.949081859514974e-5,5.569456985647231e-4,5.2179313622913e-4,0.00244327371071398,31,0.31,0.2972,0.01279999999999997,342,3527829,52805,0.0064766594072531,9.694347430105032e-5,7.118499927655979e-5,2.314463768636617e-5,0.990074196206215,1.0262942222504956,1.2364873385207122,1.0220993695166594,1.3489991296779809,0.925607901418915,0.5559412378281071,0.16043646504222783,0.8073802339584543,0.32092837134853935
2001,0.00292298745640558,0.11304441726246876,0.11596740471887432,0.27503460402218033,2.3738066209338937e-4,3.985384572746664e-5,0.0032024475090365,-0.00271705462136673,1.947627222182802e-4,4.261793987511697e-5,7.165558584474102e-4,0.0024858916505891,32.51,0.3251,0.31,0.0151,344,3658577,56445,0.0060944282044468,9.402562799689606e-5,7.423640391118127e-5,2.6196042320987655e-5,0.9902176835427878,1.0283993147186428,1.324757794037445,1.0224848480642363,1.4147084421235856,0.9122273213425098,0.600449407772641,0.22032043151314942,0.8214633397997331,0.38135254101640653
