Sub_Region,n_visions_sub_region,n_visions_MT_sub_region,n_visions_global,n_visions_MT_global,n_visions_sub_region_g,n_visions_MT_sub_region_g,ratio_global,ratio_transf
North America,147,4,51,1,198,5,0.25757575757575757,0.025252525252525252
Central and Western Europe,134,4,51,1,185,5,0.2756756756756757,0.02702702702702703
South America,39,2,51,1,90,3,0.5666666666666667,0.03333333333333333
Southern Africa,8,0,51,1,59,1,0.864406779661017,0.01694915254237288
Oceania,20,0,51,1,71,1,0.7183098591549296,0.014084507042253521
Caribbean,8,0,51,1,59,1,0.864406779661017,0.01694915254237288
Eastern Europe,1,0,51,1,52,1,0.9807692307692307,0.019230769230769232
Mesoamerica,9,0,51,1,60,1,0.85,0.016666666666666666
West Africa,6,0,51,1,57,1,0.8947368421052632,0.017543859649122806
South-East Asia,13,0,51,1,64,1,0.796875,0.015625
North-East Asia,8,0,51,1,59,1,0.864406779661017,0.01694915254237288
East Africa and adjacent islands,7,0,51,1,58,1,0.8793103448275862,0.017241379310344827
South Asia,1,0,51,1,52,1,0.9807692307692307,0.019230769230769232
Western Asia,2,0,51,1,53,1,0.9622641509433962,0.018867924528301886
North Africa,4,0,51,1,55,1,0.9272727272727272,0.01818181818181818
Central Africa,4,0,51,1,55,1,0.9272727272727272,0.01818181818181818
Antarctica,0,0,51,1,51,1,1,0.0196078431372549
