country,n_cases_country
brazil,78
sweden,82
australia,74
france,79
mexico,66
tajikistan,63
china,84
ethiopia,67
nepal,67
spain,96
netherlands (the),71
south africa,67
argentina,79
chile,83
colombia,73
norway,68
portugal,67
slovenia,65
croatia,67
turkey,64
lebanon,64
tunisia,66
taiwan (province of china),65
united kingdom of great britain and northern ireland (the),77
germany,72
india,78
japan,66
costa rica,67
indonesia,72
madagascar,65
ukraine,64
italy,67
greece,65
albania,63
algeria,64
mozambique,64
peru,68
uruguay,67
"tanzania, the united republic of",69
united states of america (the),82
canada,75
malaysia,63
cambodia,63
lao people's democratic republic (the),63
viet nam,64
myanmar,64
thailand,64
brunei darussalam,63
timor-leste,64
philippines (the),64
singapore,63
honduras,63
rwanda,64
uganda,65
cuba,63
kenya,78
nicaragua,66
côte d'ivoire,64
ghana,64
togo,64
cameroon,64
somalia,65
new zealand,66
namibia,64
congo (the),64
congo (the democratic republic of the),64
angola,64
burundi,63
chad,64
equatorial guinea,63
gabon,66
central african republic (the),63
sao tome and principe,64
nigeria,69
suriname,65
palau,63
ecuador,67
panama,64
belgium,66
papua new guinea,63
antigua and barbuda,63
barbados,63
belize,65
dominican republic (the),63
grenada,63
guyana,66
jamaica,63
montserrat,63
saint kitts and nevis,63
saint lucia,63
saint vincent and the grenadines,63
trinidad and tobago,63
israel,64
bolivia (plurinational state of),65
gambia (the),67
guatemala,64
liberia,63
zambia,64
burkina faso,64
benin,63
cabo verde,65
djibouti,63
egypt,63
libya,63
mali,63
mauritania,63
niger (the),63
senegal,65
sudan (the),63
finland,72
estonia,65
latvia,66
lithuania,65
poland,66
denmark,67
bangladesh,65
austria,65
bulgaria,65
cyprus,64
czechia,64
hungary,65
ireland,64
luxembourg,64
malta,65
romania,65
slovakia,64
cook islands (the),63
seychelles,63
mauritius,63
morocco,64
solomon islands,63
malawi,63
paraguay,64
venezuela (bolivarian republic of),64
comoros (the),63
guinea-bissau,63
bahamas (the),63
jordan,63
"palestine, state of",63
moldova (the republic of),63
switzerland,65
russian federation (the),63
greenland,63
iceland,63
bhutan,63
