country,GID_0,ISO_3,region,subregion,ID,ghm,Built1994,Built2009,HFP1993,HFP1993_int,HFP2009,HFP2009_int,Lights1994,Lights2009,NavWater1994,NavWater2009,Pasture1993,Pasture2009,Popdensity1990,Popdensity2010,Railways,Roads,croplands1992,croplands2005
aruba,ABW,ABW,americas,caribbean,1,0.5400645236174265,6.666666666666667,6.666666666666667,31.26656977335612,31,32.59990310668945,32.333333333333336,7,7.333333333333333,2.9332367976506553,2.9332367976506553,0,0,8,9,0,6.666666666666667,0,0
afghanistan,AFG,AFG,asia and the pacific,south asia,2,0.20251986418761284,0.002216557685913776,0.013299346115482655,6.99599322665759,6.692341793195168,7.931103207670531,7.626288374154937,0.006095533636262884,0.02294137204920758,0.023977857506286827,0.02813361401409074,1.1786545494846503,1.2142303003435664,2.8952676493405742,3.9279618752078025,0,2.335087529425609,0.5546935608999224,0.3894491854150504
angola,AGO,AGO,africa,southern africa,3,0.17177775936687284,13048074.515457034,13048074.52413701,4.529285957009485,5.017026106696935,5.130088833916592,5.611804767309875,0.00886739218057235,0.02331049308074701,0.023280818180999318,0.044680233508655666,1.1418782748891576,1.2030767163778047,1.7390165255945182,13048077.03779128,0.04138116350933763,1.2550310738025359,0.316471852747548,0.009404809888485825
anguilla,AIA,AIA,americas,caribbean,4,0.444938063621521,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
åland islands,ALA,ALA,europe and central asia,central and western europe,5,0.32716701048667785,397682157.7777778,397682157.4074074,12.381078503348611,33.44444444444444,11.01744200966575,32.333333333333336,0.8636363636363636,1,2.1285978853702545,2.1285978853702545,0,0,3.3181818181818183,397682159.6666667,0,4.20702605762265,0.9545454545454546,0
albania,ALB,ALB,europe and central asia,central and western europe,6,0.3964540666164873,14510024.671171172,14510024.828828828,14.638416040511359,15.054054054054054,12.837962521920128,13.265765765765765,0.2199546485260771,0.5011337868480725,0.15073814862851231,0.15073814862851231,0.015873015873015872,0.02040816326530612,6.219954648526077,14510030.29954955,0.16326530612244897,2.3697640659992927,5.476190476190476,3.761904761904762
andorra,AND,AND,europe and central asia,central and western europe,7,0.5090717673301697,4.285714285714286,4.285714285714286,24.857142857142858,24.857142857142858,28.142857142857142,28.142857142857142,4.571428571428571,7,0,0,0.7142857142857143,0.42857142857142855,5.857142857142857,7,0,7.428571428571429,2,2
united arab emirates (the),ARE,ARE,asia and the pacific,western asia,8,0.31197235042428495,18941422.319735393,18941423.16868798,7.223508906410852,8.026460859977949,9.849760266478786,10.62954796030871,1.3136818687430478,2.253615127919911,0.05690254539654694,0.05690254539654694,0.027808676307007785,0.024471635150166853,3.507230255839822,18941425.673649393,0,1.3612671073472273,0,0
argentina,ARG,ARG,americas,south america,9,0.2357337279524639,3055199.572844128,3055199.5988019467,5.450819803791177,5.313290902283788,5.916813684827371,5.777736178709597,0.11417716456708658,0.1835132973405319,0.04800234078993317,0.05491304019229947,0.9138922215556888,0.9321885622875425,1.388997200559888,3055201.158342693,0.23695260947810437,1.69665869467975,0.9784043191361728,1.0513647270545892
armenia,ARM,ARM,europe and central asia,eastern europe,10,0.3350861766004345,4709394.052631579,4709394.118421053,11.331486222180692,11.25,12.232585119153118,12.149122807017545,0.21978021978021978,0.4835164835164835,0.09775985338582668,0.09775985338582668,0.44835164835164837,0.31868131868131866,5.527472527472527,4709399.688596491,0.3516483516483517,2.3677923072170426,2.230769230769231,2.723076923076923
american samoa,ASM,ASM,asia and the pacific,oceania,11,0.34594953060150146,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
antarctica,ATA,ATA,antarctica,antarctica,12,NA,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
french southern territories (the),ATF,ATF,asia and the pacific,oceania,13,0.0032154987947862657,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
antigua and barbuda,ATG,ATG,americas,caribbean,14,0.5326936691999435,3.3333333333333335,5,21.60669008890788,21.166666666666668,23.940023104349773,23.5,4,5.833333333333333,1.7308219224214554,1.7308219224214554,0,0,6.333333333333333,6.333333333333333,0,3.8758680125077567,2.3333333333333335,1.1666666666666667
australia,AUS,AUS,asia and the pacific,oceania,15,0.05704592440444105,3044677.110367826,3044677.108670474,3.285823254616906,3.2207156835336876,3.4438049041480636,3.3779603818043853,0.03933449317095607,0.04142420061191433,0.017331643790601908,0.01945511412792929,1.0343651888735577,0.9896414501969725,0.19469274301597778,3044677.3113343185,0.09918611394404783,1.3798660191195884,0.49455076289319494,0.6616873637690723
