country,GID_0,ISO_3,region,subregion,ID,ws_avg,GroundWater_GeomaticDeq50,MSpecies_Richness_9taxa,TMSpecies_Richness_8taxa,soil_biodiversity,Species_Richness_4taxa,TSpecies_Richness_4taxa,TempVelocity_terr_all,Monfreda_prod_sum_allcrops,IHME_dbl_burden_malnut,Herrero_lvstk_kg,Watson_fish_ind_nind_0004,DALYS_2000,life_expectancy_SHDI_2000,TerrStat_hotspots_bin_sum_quant0.1,ghm,Built1994,Built2009,HFP1993,HFP1993_int,HFP2009,HFP2009_int,Lights1994,Lights2009,NavWater1994,NavWater2009,Pasture1993,Pasture2009,Popdensity1990,Popdensity2010,Railways,Roads,croplands1992,croplands2005,n_cases_country,prop_cases_country
aruba,ABW,ABW,americas,caribbean,1,NA,NA,2.2824412981669107,1.371993939081828,NA,0,0,0,0,NA,0,143046.828125,NA,NA,0,0.5400645236174265,6.666666666666667,6.666666666666667,31.26656977335612,31,32.59990310668945,32.333333333333336,7,7.333333333333333,2.9332367976506553,2.9332367976506553,0,0,8,9,0,6.666666666666667,0,0,NA,NA
afghanistan,AFG,AFG,asia and the pacific,south asia,2,2.5552311439544564,4.338936277382151,0,0,53.75509610287593,0.4848500385750005,0.13856927348769624,0.682360907261581,657.1728187885916,0.13753720896505314,67.99217244967365,NA,89946.4532644007,55.51099782295539,1,0.20251986418761284,0.00221655768591377,0.01329934611548265,6.99599322665759,6.692341793195168,7.931103207670531,7.626288374154937,0.00609553363626288,0.02294137204920758,0.02397785750628682,0.02813361401409074,1.1786545494846503,1.2142303003435664,2.8952676493405742,3.9279618752078025,0,2.335087529425609,0.5546935608999224,0.3894491854150504,NA,NA
angola,AGO,AGO,africa,southern africa,3,0.4451414733108452,5.7281132151039,0.12520577702397123,0.11643976891776343,60.59401879549711,1.3617522328847844,0.34145960682051824,0.7209558918112935,444.62545287721537,0.13999911393566555,313.91710990699534,80410.9880102885,102621.67606820572,46.67354242903887,2,0.17177775936687284,13048074.515457034,13048074.52413701,4.529285957009485,5.017026106696935,5.130088833916592,5.611804767309875,0.00886739218057235,0.02331049308074701,0.02328081818099931,0.04468023350865566,1.1418782748891576,1.2030767163778049,1.7390165255945182,13048077.03779128,0.04138116350933763,1.255031073802536,0.316471852747548,0.00940480988848582,63,0.16666666666666666
anguilla,AIA,AIA,americas,caribbean,4,NA,NA,2.1848714351654053,1.2298147678375244,NA,0,0,0,NA,NA,NA,34192.2265625,NA,NA,NA,0.444938063621521,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA,NA,NA
åland islands,ALA,ALA,europe and central asia,central and western europe,5,NA,0.1707915522158146,0.14488761126995087,0,117.25011335100446,0,0,0.6285628861710224,0,NA,79217.40959821429,89059.90617766204,NA,80.19199625651042,2,0.32716701048667785,397682157.7777778,397682157.4074074,12.381078503348611,33.44444444444444,11.01744200966575,32.333333333333336,0.8636363636363636,1,2.1285978853702545,2.1285978853702545,0,0,3.3181818181818183,397682159.6666667,0,4.20702605762265,0.9545454545454546,0,NA,NA
albania,ALB,ALB,europe and central asia,central and western europe,6,0.3366482651799135,105.79401781537268,0.42558227113343466,0.3708580486734412,117.69856853313274,0.6750274257491816,0.22562851764406447,1.0117680072712452,8153.611518392786,NA,38664.01027255588,2142.846674255982,25923.131242945823,75.41831852839543,2,0.3964540666164873,14510024.671171172,14510024.828828828,14.63841604051136,15.054054054054054,12.837962521920128,13.265765765765764,0.2199546485260771,0.5011337868480725,0.15073814862851231,0.15073814862851231,0.01587301587301587,0.02040816326530612,6.219954648526077,14510030.29954955,0.16326530612244897,2.3697640659992927,5.476190476190476,3.761904761904762,62,0.164021164021164
andorra,AND,AND,europe and central asia,central and western europe,7,0.04168824159673282,43.81370765822275,0,0,123.25006539481026,0.616077755178724,0.24251145124435425,1.0134928481919423,1.707509530593906e-10,NA,22179.74907844407,NA,25110.904854910714,NA,1,0.5090717673301697,4.285714285714286,4.285714285714286,24.857142857142858,24.857142857142858,28.142857142857142,28.142857142857142,4.571428571428571,7,0,0,0.7142857142857143,0.42857142857142855,5.857142857142857,7,0,7.428571428571429,2,2,NA,NA
united arab emirates (the),ARE,ARE,asia and the pacific,western asia,8,5.526093108022315,4.794157736115238,1.115952794167896,0.4948915195249498,2.3904538898499843,0.33697597749629243,0.15543773911180628,1.0725509123476231,3865.4051370460897,NA,2206.706630838029,91212.57877384016,20511.77333175069,NA,2,0.31197235042428495,18941422.319735393,18941423.16868798,7.223508906410852,8.026460859977949,9.849760266478786,10.62954796030871,1.3136818687430478,2.253615127919911,0.05690254539654694,0.05690254539654694,0.02780867630700778,0.02447163515016685,3.507230255839822,18941425.673649393,0,1.3612671073472271,0,0,NA,NA
argentina,ARG,ARG,americas,south america,9,2.9204108550638392,7.977730404525551,0.15482119682760873,0.1126648263372063,63.39346766821119,0.6336514061872227,0.1257270369840396,0.5359474176020042,5407.048910438663,0.11619719862937929,3382.1871370994154,31165.636899947953,29618.92514100267,73.92636731182438,3,0.2357337279524639,3055199.572844128,3055199.5988019467,5.450819803791177,5.313290902283788,5.916813684827371,5.777736178709597,0.11417716456708658,0.1835132973405319,0.04800234078993317,0.05491304019229947,0.9138922215556888,0.9321885622875424,1.388997200559888,3055201.158342693,0.23695260947810437,1.69665869467975,0.9784043191361728,1.0513647270545892,76,0.20105820105820105
armenia,ARM,ARM,europe and central asia,eastern europe,10,0.7802897715418223,82.82161503821088,0,0,108.60754637132612,0.7165389343311912,0.2066143739216945,0.5961432723622573,8682.264946302477,0.14300772547721863,16946.124563923186,NA,29984.802408854168,70.50890934258176,2,0.3350861766004345,4709394.052631579,4709394.118421053,11.331486222180692,11.25,12.232585119153118,12.149122807017545,0.21978021978021975,0.4835164835164835,0.09775985338582668,0.09775985338582668,0.4483516483516484,0.31868131868131866,5.527472527472527,4709399.688596491,0.3516483516483517,2.3677923072170426,2.230769230769231,2.723076923076923,NA,NA
